Ingredient #1,Ingredient #2,"Combi Boost",known?
BellPepper,Yogurt,-5,0
Broccoli,Avocado,2,0
Broccoli,Beans,2,0
Broccoli,Beef,3,0
Broccoli,Carp,2,0
Broccoli,Carrot,6,0
Broccoli,Cheese,1,0
Broccoli,Chicken,4,0
Broccoli,Coffee,-4,0
Broccoli,Garlic,3,0
Broccoli,Ginger,3,0
Broccoli,GrapesGreen,-3,0
Broccoli,GrapesRed,-3,0
Broccoli,Lamb,2,0
Broccoli,Lemon,2,0
Broccoli,Lime,2,0
Broccoli,Lobster,2,0
Broccoli,Makarel,2,0
Broccoli,Mandragora,-3,0
Broccoli,Meat,2,0
Broccoli,Mushroom,5,0
Broccoli,Onion,2,0
Broccoli,Pepper,1,0
Broccoli,Pork,2,0
Broccoli,Rice,2,0
Broccoli,Salad,2,0
Broccoli,Salmon,3,0
Broccoli,Salt,1,0
Broccoli,Shrimp,3,0
Broccoli,Tea,-4,0
Broccoli,Tuna,2,0
Broccoli,Turkey,2,0
Cabbage,Algae,2,0
Cabbage,Anise,2,0
Cabbage,Basil,1,0
Cabbage,Beef,1,0
Cabbage,Cardamon,2,0
Cabbage,Carrot,1,0
Cabbage,Chicken,1,0
Cabbage,Coriander,1,0
Cabbage,Curcuma,2,0
Cabbage,Dill,2,0
Cabbage,Duck,3,0
Cabbage,Eggplant,2,0
Cabbage,Ginger,1,0
Cabbage,Lamb,1,0
Cabbage,Lemongrass,1,0
Cabbage,Mandragora,-3,0
Cabbage,Meat,1,0
Cabbage,Nutmeg,2,0
Cabbage,Paprika,2,0
Cabbage,Pork,1,0
Cabbage,Potato,2,0
Cabbage,Salt,1,0
Carrot,Bones,2,0
Carrot,Broccoli,6,0
Carrot,Cabbage,1,0
Carrot,Chicken,2,1
Carrot,Coriander,1,0
Carrot,Duck,2,0
Carrot,FuguFish,2,0
Carrot,Garlic,2,0
Carrot,Ginger,4,0
Carrot,GreenOnion,1,0
Carrot,Hop,3,0
Carrot,Lamb,4,0
Carrot,Lemon,1,0
Carrot,Mandragora,-3,0
Carrot,Mushroom,2,0
Carrot,Nori,3,1
Carrot,Oil,2,1
Carrot,Onion,3,0
Carrot,Peas,5,0
Carrot,Potato,1,0
Carrot,Rice,2,1
Carrot,Salad,4,0
Carrot,Zucchini,2,0
Clover,Ice,5,0
Clover,Salad,8,0
Clover,Vinegar,5,0
Corn,Algae,1,0
Corn,Avocado,2,0
Corn,Beans,2,0
Corn,Beef,1,0
Corn,BellPepper,1,0
Corn,Butter,8,0
Corn,Cheese,1,0
Corn,Cream,2,0
Corn,Lobster,2,0
Corn,Mandragora,-3,0
Corn,Salad,2,0
Corn,Tomato,2,0
Corn,Vinegar,2,0
Corn,Zucchini,2,0
Cucumber,Algae,2,0
Cucumber,Avocado,2,0
Cucumber,Chicken,2,0
Cucumber,Coriander,3,0
Cucumber,Dill,5,0
Cucumber,Ice,2,0
Cucumber,Mandragora,-3,0
Cucumber,Pepper,3,0
Cucumber,Salad,4,0
Cucumber,Tomato,2,0
Cucumber,Tuna,2,0
Cucumber,Yogurt,2,0
Eggplant,Algae,2,0
Eggplant,Beef,1,0
Eggplant,Butter,2,0
Eggplant,Cabbage,2,0
Eggplant,Cheese,3,0
Eggplant,Dill,2,0
Eggplant,Egg,2,0
Eggplant,Garlic,2,0
Eggplant,Mandragora,-3,0
Eggplant,Meat,1,0
Eggplant,Mushroom,5,0
Eggplant,Nuts,2,0
Eggplant,Onion,2,0
Eggplant,Potato,1,0
Eggplant,Rice,1,0
Eggplant,Salad,2,0
Eggplant,Salt,2,0
Eggplant,Tuna,2,0
Eggplant,Zucchini,2,0
Garlic,Asparagus,3,0
Garlic,Avocado,1,0
Garlic,Beans,2,0
Garlic,Beef,1,0
Garlic,BellPepper,2,0
Garlic,Blueberries,-1,0
Garlic,Bones,1,0
Garlic,Broccoli,3,0
Garlic,Butter,2,0
Garlic,Carp,1,0
Garlic,Carrot,2,0
Garlic,Cherry,-1,0
Garlic,Chicken,1,0
Garlic,Eel,1,0
Garlic,Eggplant,2,0
Garlic,Ginger,2,0
Garlic,GrapesGreen,-1,0
Garlic,GrapesRed,-1,0
Garlic,Hop,2,0
Garlic,Jerky,2,0
Garlic,Kiwi,-1,0
Garlic,Lamb,2,0
Garlic,Lemon,3,0
Garlic,Lime,3,0
Garlic,Lobster,2,0
Garlic,Makarel,2,0
Garlic,Mandragora,-3,0
Garlic,Mango,-1,0
Garlic,Melon,-2,0
Garlic,Mushroom,2,0
Garlic,Octopus,1,0
Garlic,Oil,1,0
Garlic,Onion,4,0
Garlic,Orange,-1,0
Garlic,Oysters,2,0
Garlic,Papaya,-1,0
Garlic,Peach,-1,0
Garlic,Pear,-1,0
Garlic,Pineapple,-1,0
Garlic,Piranha,2,0
Garlic,Plums,-1,0
Garlic,Pomegranate,-1,0
Garlic,Potato,2,0
Garlic,Rice,1,0
